CUSTOMER_ID|LIMIT_BAL|SEX|EDUCATION|MARRIAGE|AGE|PAY_2|PAY_3|PAY_4|PAY_5|PAY_6|BILL_AMT1|BILL_AMT2|BILL_AMT3|BILL_AMT4|BILL_AMT5|BILL_AMT6|PAY_AMT1|PAY_AMT2|PAY_AMT3|PAY_AMT4|PAY_AMT5|PAY_AMT6
6547|200000.0|1|1|1|43|0|-1|0|0|0|202225.0|-4359.0|190829.0|96686.0|100131.0|102467.0|1029.0|200000.0|10000.0|5000.0|4000.0|4000.0
7195|200000.0|1|1|1|30|0|0|0|0|0|182338.0|123079.0|124075.0|99440.0|104685.0|54038.0|4653.0|5000.0|5000.0|6000.0|5000.0|10000.0
8381|80000.0|2|1|2|23|2|2|0|0|0|80457.0|82885.0|80495.0|78027.0|30052.0|30373.0|4350.0|0.0|2350.0|1048.0|1077.0|1154.0
16446|160000.0|1|3|2|38|0|0|0|0|0|47268.0|47269.0|45688.0|47690.0|48712.0|49525.0|2725.0|2767.0|2769.0|1791.0|1928.0|1960.0
16263|100000.0|1|2|2|26|2|-1|0|-1|-1|214.0|107.0|214.0|107.0|107.0|38362.0|0.0|214.0|0.0|107.0|38362.0|1600.0
25598|220000.0|2|1|1|37|-2|-2|-2|-2|-2|14298.0|100606.0|11202.0|21683.0|10860.0|12534.0|101405.0|11202.0|21778.0|10860.0|12534.0|7923.0
13347|80000.0|2|2|2|45|-1|-1|-1|0|-1|2574.0|390.0|3889.0|780.0|390.0|390.0|390.0|3889.0|780.0|0.0|390.0|390.0
29546|180000.0|2|1|1|33|-1|2|-1|-1|2|13999.0|17829.0|6608.0|17087.0|17993.0|8662.0|4176.0|65.0|17087.0|2013.0|23.0|32852.0
1022|260000.0|1|1|1|40|-1|-1|-1|-1|-1|524.0|248.0|552.0|0.0|80.0|121.0|248.0|552.0|0.0|80.0|121.0|219.0
341|250000.0|2|1|1|54|-1|-1|-1|0|-1|390.0|1090.0|390.0|2855.0|390.0|2950.0|1090.0|390.0|2855.0|0.0|2950.0|0.0
27890|200000.0|2|3|2|30|0|0|0|0|0|185723.0|166726.0|160181.0|161469.0|104232.0|151726.0|8009.0|6402.0|6715.0|4625.0|50086.0|5458.0
20208|280000.0|1|1|2|30|-2|-2|-2|-2|-2|3310.0|-6.0|4759.0|996.0|0.0|1199.0|0.0|4765.0|996.0|0.0|1199.0|909.0
18899|240000.0|2|2|2|30|-1|0|0|0|0|35380.0|64013.0|51380.0|25438.0|19376.0|12889.0|64013.0|1651.0|1705.0|564.0|2093.0|144734.0
