CUSTOMER_ID|LIMIT_BAL|SEX|EDUCATION|MARRIAGE|AGE|PAY_0|PAY_2|PAY_3|PAY_4|PAY_5|PAY_6|BILL_AMT1|BILL_AMT2|BILL_AMT3|BILL_AMT4|BILL_AMT5|BILL_AMT6|PAY_AMT1|PAY_AMT2|PAY_AMT3|PAY_AMT4|PAY_AMT5|PAY_AMT6|default.payment.next.month
23196|50000.0|2|3|1|42|0|0|0|0|0|0|51123.0|50646.0|41150.0|30405.0|30671.0|30664.0|2089.0|2190.0|1100.0|1271.0|1264.0|2778.0|0
22471|80000.0|1|1|2|46|0|0|0|0|0|0|52674.0|58068.0|28116.0|30656.0|24750.0|25543.0|9000.0|7000.0|5004.0|3000.0|4000.0|5000.0|0
5266|30000.0|1|1|2|30|1|2|2|2|0|0|21996.0|21356.0|23496.0|22820.0|23352.0|23963.0|0.0|2500.0|0.0|900.0|1000.0|1200.0|1
11542|280000.0|2|2|2|29|0|0|0|0|0|0|140888.0|143746.0|55506.0|56741.0|57983.0|59185.0|5040.0|3000.0|2000.0|2000.0|2000.0|3000.0|0
11674|190000.0|2|1|2|44|0|0|0|0|0|0|181045.0|184249.0|158883.0|99255.0|80219.0|81912.0|8000.0|7000.0|4000.0|3000.0|3000.0|3000.0|0
15981|180000.0|2|2|1|58|-2|-2|-2|-2|-2|-2|0.0|0.0|750.0|1576.0|1504.0|0.0|0.0|750.0|1576.0|1504.0|0.0|1000.0|0
15055|360000.0|1|1|1|40|-2|-2|-2|-2|-2|-1|1126.0|3449.0|3168.0|1469.0|1833.0|1449.0|3455.0|3168.0|1469.0|1833.0|1449.0|0.0|0
833|50000.0|1|2|2|42|0|0|0|0|0|0|49165.0|46466.0|47145.0|47658.0|48209.0|48579.0|1800.0|1814.0|1717.0|1658.0|1858.0|2000.0|0
5103|20000.0|2|2|1|29|0|0|0|0|0|0|5586.0|6599.0|7615.0|8472.0|8640.0|8971.0|1268.0|1284.0|1141.0|309.0|470.0|321.0|1
10690|360000.0|1|2|2|31|0|0|0|0|0|0|34831.0|29791.0|19013.0|17929.0|20759.0|3436.0|5059.0|1383.0|2000.0|3030.0|2009.0|2018.0|0
16100|210000.0|2|1|2|29|0|0|0|0|0|0|205131.0|197019.0|196021.0|103522.0|145487.0|141876.0|10000.0|4720.0|50075.0|110000.0|10000.0|10000.0|0
27638|60000.0|1|2|2|36|0|0|0|0|0|0|59219.0|58852.0|54811.0|39960.0|40133.0|37607.0|3083.0|1857.0|1289.0|1615.0|1484.0|2500.0|0
24017|50000.0|2|2|1|35|0|0|-2|-2|-2|-2|23280.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0
23007|360000.0|2|1|2|27|1|-2|-2|-2|-2|-2|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1
25499|150000.0|2|2|2|23|-2|-2|-2|-2|-1|2|198.0|4824.0|1276.0|4830.0|10251.0|5706.0|4848.0|1282.0|4854.0|10251.0|0.0|7328.0|0
26491|50000.0|1|3|1|42|0|0|0|0|0|0|42238.0|29224.0|23807.0|17623.0|17974.0|18350.0|1425.0|2000.0|1293.0|644.0|666.0|676.0|0
8115|120000.0|2|2|2|23|0|0|0|0|0|0|116314.0|115653.0|108971.0|83592.0|22321.0|32150.0|6019.0|5000.0|5000.0|2000.0|20000.0|10000.0|0
2129|90000.0|1|2|1|29|0|0|0|0|0|0|84844.0|65217.0|63943.0|62327.0|55800.0|56800.0|2277.0|3489.0|1639.0|1136.0|1000.0|0.0|0
4566|200000.0|1|2|1|36|0|0|0|-2|-1|0|5440.0|7268.0|0.0|0.0|42362.0|43094.0|2000.0|0.0|0.0|87000.0|1566.0|1830.0|0
13530|80000.0|2|3|1|27|0|0|0|0|0|0|24003.0|21887.0|14799.0|6402.0|4950.0|4661.0|3028.0|1241.0|3010.0|2025.0|3500.0|26028.0|1
8954|300000.0|2|2|1|45|0|0|0|0|0|0|12975.0|13149.0|13408.0|12714.0|12437.0|11166.0|1520.0|2000.0|1452.0|1000.0|649.0|344.0|0
9323|150000.0|2|2|1|39|0|0|0|0|0|0|16878.0|7632.0|33019.0|31366.0|31709.0|42632.0|5000.0|30000.0|3000.0|5000.0|15000.0|6000.0|0
22105|410000.0|2|3|2|31|-2|-2|-2|-2|-2|-2|0.0|0.0|0.0|0.0|0.0|3932.0|0.0|0.0|0.0|0.0|3932.0|1238.0|0
